🎫 THE TICKET TAKER — PRE-REGISTERED ENTRY-CELL EDGE SEARCH

registration PREREG_TAKER_CELLS_2026-09-11.json  sha256 daa496cd38c7c7bc…  m=152  FDR=0.05
BAR: A cell is an EDGE iff it survives BH at FDR 0.05 across all m=152 pre-declared cells on the day-clustered one-sided paired-difference t, AND its selection-adjusted p_max <= 0.05 against the shift-placebo max statistic, AND it survives coin-clustering, AND it passes every concentration test, AND its point excess exceeds its own mde80_cluster. Even then it ships only as a shadow-lane restriction with a pre-registered forward read, never as a live change.

K=2000 null draws/close (seed 20260910)  ·  B=2000 shift placebos (seed 20260911)  ·  n floor = fleet_allocation.MIN_N = 10  ·  t_crit(30) = 1.3114

[bot_pnl_store] disabled: DATABASE_URL not set
ledger   304 kept after quarantine/phantom/adopted  ->  era n=208  since 2026-07-30T11:09:46+00:00 (policy-stamp)
families {'long-breakoutup': 162, 'short-divergence': 46}
LIVE_SIDES = {'divergence': ['short']}   <- a long-breakoutup survivor can only buy a SHADOW-lane filter

era reproduction  mine {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  vs published {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  -> MATCH

long-breakoutup  era n=162  carrying all 7 entry features: 162  (floor 140)

tape  49 coins, 46d (cache /Users/eamonjuaomartins-carrick/Claude/Projects/Crypto Trading Bot/.claude/worktrees/taker-edge/scripts/.taker_null_tape) …
  covers 46/49 coins (94%, floor 60%)

calibration  replayed +0.728%/trade vs ledger +0.809% on the SAME 196 closes (|drift| 0.081pp, tol 0.60pp)
calibration OK

outcome curves  196 closes (12 dropped: coin absent from the tape)  1.9s
null  K=2000 draws/close  median MC SE of mu_i = 0.124pp (ceiling 0.15pp)
paired unit  d_i = x_i - mu_i   book +0.809%/trade  null +1.063%/trade  excess -0.254pp

selection premium  B=2000 shift placebos: null max-t median +1.38, p95 +2.57  (4.6s)
  (a cell must beat that BEFORE it means anything — the already-measured premium on this book was ~+0.96 to +1.17 z-units)

§9 PIPELINE CALIBRATION — run BEFORE the real table; failure REFUSES.
  positive control +2.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +2.91, p 3.03e-03, p_max 0.0195, post-BH survivors 0 -> does not fire  [GATING]

  the control cell's own MULTIPLICITY-ADJUSTED detection floor is 3.35pp/trade (n=110, G=39 day clusters, BH rank-1 threshold 3.27e-04) — a search this WIDE cannot see +2.00pp on a cell this size, whatever is in the data.
  !! --diagnostic: the control failure is DOWNGRADED to a reported line. Everything below is a LANDSCAPE, not a test. NO cell printed after this point can be called an edge, whatever its p-value, because the pipeline has just FAILED its own positive control at this width.
  positive control +1.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +1.54, p 6.55e-02, p_max 0.3913, post-BH survivors 0 -> does not fire  [reported, not gating]
  placebo (book replaced by a held-out null draw, 20 seeds): post-BH survivors per seed [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] -> median 0 of 152 (ceiling 2)
  pipeline calibration: the placebo arm is CLEAN (it does not open on noise) but the POSITIVE CONTROL FAILED — so the gate does not open on a real +2.00pp effect either. Only one half of the calibration passed, and it is the half that cannot license a finding.

==================================================================================================================================================================
EVERY PRE-DECLARED CELL (all m, not just survivors — a sweep that prints only the winner is the artifact)
==================================================================================================================================================================
  # cell                                      n   G    book%    null%   excess   t_day   t_iid        p    BHthr  BH  mde80c   mdeBH    pmax note
------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1 vol_m >= p20                            121  36   +1.196   +1.618   -0.423   -0.52   -0.71   0.6963  0.02862   -    2.30    3.74  1.0000 ok cut=1.266
  2 vol_m <= p20                             31  19   +1.387   +0.923   +0.463   +0.41   +0.50   0.3451  0.01184   -    3.31    5.69  0.9765 ok cut=1.266
  3 vol_m >= p40                             91  32   +0.505   +1.739   -1.234   -1.66   -2.20   0.9463  0.04441   -    2.11    3.45  1.0000 ok cut=2.074
  4 vol_m <= p40                             61  25   +2.323   +1.085   +1.238   +1.02   +1.33   0.1592  0.00230   -    3.46    5.79  0.7666 ok cut=2.074
  5 vol_m >= p60                             61  27   +0.947   +1.805   -0.858   -0.97   -1.18   0.8291  0.03783   -    2.52    4.18  1.0000 ok cut=5.62
  6 vol_m <= p60                             91  32   +1.428   +1.257   +0.171   +0.17   +0.24   0.4330  0.01546   -    2.84    4.66  0.9935 ok cut=5.62
  7 vol_m >= p80                             31  19   +0.833   +1.389   -0.556   -0.48   -0.57   0.6814  0.02829   -    3.36    5.77  1.0000 ok cut=28.46
  8 vol_m <= p80                            121  36   +1.338   +1.499   -0.162   -0.18   -0.27   0.5708  0.02171   -    2.54    4.13  1.0000 ok cut=28.46
  9 apr_pct >= p20                          130  35   +1.214   +1.524   -0.310   -0.35   -0.53   0.6360  0.02533   -    2.49    4.06  1.0000 ok cut=10.5
 10 apr_pct <= p20                          135  35   +1.502   +1.392   +0.110   +0.13   +0.20   0.4500  0.01678   -    2.45    3.99  0.9945 ok cut=10.5
 11 apr_pct >= p40                            0   0     +nan     +nan       --      --      --   1.0000  0.04770   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 12 apr_pct <= p40                            0   0     +nan     +nan       --      --      --   1.0000  0.04803   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 13 apr_pct >= p60                            0   0     +nan     +nan       --      --      --   1.0000  0.04836   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 14 apr_pct <= p60                            0   0     +nan     +nan       --      --      --   1.0000  0.04868   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 15 apr_pct >= p80                            0   0     +nan     +nan       --      --      --   1.0000  0.04901   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 16 apr_pct <= p80                            0   0     +nan     +nan       --      --      --   1.0000  0.04934   -      --      --      -- UNCOMPUTABLE UNCOMPUTABLE: duplicate cut point
 17 chg_pct >= p20                          121  35   +1.233   +1.526   -0.293   -0.31   -0.48   0.6219  0.02500   -    2.64    4.31  1.0000 ok cut=1.304
 18 chg_pct <= p20                           31  19   +1.242   +1.285   -0.043   -0.04   -0.05   0.5174  0.01908   -    2.85    4.89  0.9995 ok cut=1.304
 19 chg_pct >= p40                           92  32   +1.048   +1.630   -0.582   -0.53   -0.79   0.7008  0.02895   -    3.10    5.08  1.0000 ok cut=2.81
 20 chg_pct <= p40                           62  27   +1.535   +1.224   +0.311   +0.38   +0.50   0.3524  0.01217   -    2.31    3.84  0.9775 ok cut=2.81
 21 chg_pct >= p60                           61  26   +1.617   +1.622   -0.004   -0.00   -0.00   0.5012  0.01842   -    4.05    6.74  0.9990 ok cut=5.336
 22 chg_pct <= p60                           91  33   +0.978   +1.380   -0.401   -0.60   -0.81   0.7235  0.03158   -    1.90    3.10  1.0000 ok cut=5.336
 23 chg_pct >= p80                           31  14   +1.550   +1.660   -0.109   -0.06   -0.08   0.5226  0.01974   -    5.49   10.08  0.9995 ok cut=10.98
