canonical_id,canonical_name,alias
BRI,Brisbane Broncos,Brisbane Broncos
BRI,Brisbane Broncos,Broncos
CAN,Canberra Raiders,Canberra Raiders
CAN,Canberra Raiders,Raiders
CBY,Canterbury-Bankstown Bulldogs,Canterbury Bulldogs
CBY,Canterbury-Bankstown Bulldogs,Canterbury-Bankstown Bulldogs
CBY,Canterbury-Bankstown Bulldogs,Canterbury Bankstown Bulldogs
CBY,Canterbury-Bankstown Bulldogs,Bulldogs
CBY,Canterbury-Bankstown Bulldogs,Sydney Bulldogs
CRO,Cronulla-Sutherland Sharks,Cronulla Sharks
CRO,Cronulla-Sutherland Sharks,Cronulla-Sutherland Sharks
CRO,Cronulla-Sutherland Sharks,Cronulla Sutherland Sharks
CRO,Cronulla-Sutherland Sharks,Sharks
DOL,Dolphins,Dolphins
DOL,Dolphins,Redcliffe Dolphins
DOL,Dolphins,The Dolphins
GLD,Gold Coast Titans,Gold Coast Titans
GLD,Gold Coast Titans,Titans
MAN,Manly-Warringah Sea Eagles,Manly Sea Eagles
MAN,Manly-Warringah Sea Eagles,Manly-Warringah Sea Eagles
MAN,Manly-Warringah Sea Eagles,Manly Warringah Sea Eagles
MAN,Manly-Warringah Sea Eagles,Sea Eagles
MEL,Melbourne Storm,Melbourne Storm
MEL,Melbourne Storm,Storm
NEW,Newcastle Knights,Newcastle Knights
NEW,Newcastle Knights,Knights
NQL,North Queensland Cowboys,North QLD Cowboys
NQL,North Queensland Cowboys,North Queensland Cowboys
NQL,North Queensland Cowboys,Cowboys
NZW,New Zealand Warriors,New Zealand Warriors
NZW,New Zealand Warriors,Warriors
NZW,New Zealand Warriors,Auckland Warriors
PAR,Parramatta Eels,Parramatta Eels
PAR,Parramatta Eels,Eels
PEN,Penrith Panthers,Penrith Panthers
PEN,Penrith Panthers,Panthers
SOU,South Sydney Rabbitohs,South Sydney Rabbitohs
SOU,South Sydney Rabbitohs,Rabbitohs
SGI,St George Illawarra Dragons,St. George Illawarra Dragons
SGI,St George Illawarra Dragons,St George Illawarra Dragons
SGI,St George Illawarra Dragons,St George Dragons
SGI,St George Illawarra Dragons,St. George Dragons
SGI,St George Illawarra Dragons,Dragons
SYD,Sydney Roosters,Sydney Roosters
SYD,Sydney Roosters,Roosters
SYD,Sydney Roosters,Sydney City Roosters
WST,Wests Tigers,Wests Tigers
WST,Wests Tigers,Tigers
