k,home_adv,regress,scale,mov_cap,log_loss,brier
10.0,60.0,0.5,400.0,3.0,0.6553682627300272,0.23052273981572124
10.0,70.0,0.5,400.0,3.0,0.6557429154043544,0.23073021593779047
10.0,50.0,0.5,400.0,3.0,0.6558158716879537,0.23070186296784417
13.0,60.0,0.5,400.0,3.0,0.6559932712858803,0.23079010467870864
10.0,60.0,0.4,400.0,3.0,0.6560573078481144,0.23085600994628735
10.0,60.0,0.5,400.0,2.5,0.6561670620971464,0.23091074902409825
13.0,70.0,0.5,400.0,3.0,0.6563280963982954,0.23094536450995126
13.0,60.0,0.5,400.0,2.5,0.6563659285490169,0.23100566710834222
10.0,70.0,0.4,400.0,3.0,0.6564141273696472,0.2310433157483554
13.0,50.0,0.5,400.0,3.0,0.6564887747285243,0.23101572319954766
10.0,50.0,0.4,400.0,3.0,0.6565209306261711,0.23104978527518466
10.0,70.0,0.5,400.0,2.5,0.6565697392906599,0.23114035949055226
10.0,50.0,0.5,400.0,2.5,0.65658267684633,0.2310685923149018
10.0,60.0,0.4,400.0,2.5,0.6566258242769925,0.2311435689671713
13.0,60.0,0.5,400.0,2.0,0.6566804324251924,0.23117200520125264
13.0,70.0,0.5,400.0,2.5,0.6567348245181192,0.2311905816628167
13.0,50.0,0.5,400.0,2.5,0.6568221928039785,0.23120294585633203
10.0,60.0,0.33,400.0,3.0,0.656850694483612,0.2312246732758307
10.0,80.0,0.5,400.0,3.0,0.6569325294418047,0.23131269357884293
10.0,70.0,0.4,400.0,2.5,0.6570099605913229,0.23135360745515998
10.0,50.0,0.4,400.0,2.5,0.6570584490122093,0.23131600550851472
13.0,70.0,0.5,400.0,2.0,0.6570856063181443,0.23139323714697208
13.0,50.0,0.5,400.0,2.0,0.6570942519079367,0.23133579204950686
16.0,60.0,0.5,400.0,2.0,0.6571537384111602,0.23139160707270887
13.0,60.0,0.4,400.0,3.0,0.6571913349553901,0.23133486538466674
10.0,70.0,0.33,400.0,3.0,0.6571956794422159,0.23139611468530197
10.0,60.0,0.5,400.0,2.0,0.6572146798924849,0.2313952313591717
10.0,60.0,0.33,400.0,2.5,0.6572449460454509,0.2314389515802243
13.0,60.0,0.4,400.0,2.0,0.6572885168570911,0.2314692973842172
10.0,50.0,0.33,400.0,3.0,0.6573257734096932,0.23143015264509853
13.0,60.0,0.4,400.0,2.5,0.6573341746015459,0.23145608072865848
10.0,60.0,0.4,400.0,2.0,0.6573441736620531,0.23148022604103358
13.0,80.0,0.5,400.0,3.0,0.6574836569466223,0.23146930205010524
13.0,70.0,0.4,400.0,3.0,0.6575102149526154,0.23147025085804485
16.0,70.0,0.5,400.0,2.0,0.6575340275699996,0.231576027926141
10.0,80.0,0.4,400.0,3.0,0.6575832748758591,0.23159995514415857
16.0,50.0,0.5,400.0,2.0,0.6575970531875759,0.23158714913026363
10.0,50.0,0.5,400.0,2.0,0.6575983321583494,0.23153031707749308
10.0,70.0,0.33,400.0,2.5,0.6576163116629066,0.23163315844646748
16.0,60.0,0.5,400.0,2.5,0.6576305435904064,0.23154979404604967
10.0,70.0,0.5,400.0,2.0,0.6576455521308706,0.23164990977958427
13.0,70.0,0.4,400.0,2.0,0.6576757548261767,0.2316708116065857
13.0,70.0,0.4,400.0,2.5,0.6576862847508508,0.23162109161841668
10.0,50.0,0.33,400.0,2.5,0.6576889966809485,0.2316228377805646
10.0,60.0,0.33,400.0,2.0,0.657698294769156,0.23166046293737302
13.0,50.0,0.4,400.0,3.0,0.6577008756089935,0.23157434394062057
16.0,60.0,0.5,400.0,3.0,0.6577125532643772,0.23150683179759374
13.0,50.0,0.4,400.0,2.0,0.6577184004962596,0.23164751790995455
10.0,50.0,0.4,400.0,2.0,0.6577445584009497,0.23162892700369228
10.0,70.0,0.4,400.0,2.0,0.6577564266807058,0.23171671312732642
10.0,80.0,0.5,400.0,2.5,0.6577817897423728,0.23174503737659669
13.0,50.0,0.4,400.0,2.5,0.6578051686823045,0.23166739878061396
13.0,80.0,0.5,400.0,2.5,0.6579190497408585,0.2317452119990503
16.0,70.0,0.5,400.0,2.5,0.6579682084098628,0.23168793798853798
16.0,70.0,0.5,400.0,3.0,0.6580097421914983,0.23160816348445654
13.0,60.0,0.33,400.0,2.0,0.6580151470954064,0.23180904255064136
10.0,70.0,0.33,400.0,2.0,0.6580968871536953,0.23188157737048673
10.0,50.0,0.33,400.0,2.0,0.6581102826296478,0.23182025026896882
16.0,50.0,0.5,400.0,2.5,0.6581252394277672,0.23178852787793433
10.0,60.0,0.25,400.0,3.0,0.6581349082138884,0.23180402761092025
16.0,60.0,0.4,400.0,2.0,0.6581623490632855,0.23185714090956877
10.0,80.0,0.4,400.0,2.5,0.6582010596524772,0.23193344877180505
16.0,50.0,0.5,400.0,3.0,0.6582545762346522,0.23178112700694994
13.0,80.0,0.5,400.0,2.0,0.6582999787560854,0.23198686068711624
10.0,60.0,0.25,400.0,2.5,0.6583250103491505,0.23193617351831625
13.0,60.0,0.33,400.0,2.5,0.6583395937224367,0.23190958087466712
10.0,80.0,0.33,400.0,3.0,0.6583517688195155,0.23193250099534102
13.0,60.0,0.33,400.0,3.0,0.6583651512081973,0.2318542894204943
13.0,70.0,0.33,400.0,2.0,0.6583899910872494,0.23199472468366228
10.0,60.0,0.25,400.0,2.0,0.6584493611991843,0.23202012020168508
13.0,50.0,0.33,400.0,2.0,0.6584561809701887,0.23199873791635195
10.0,70.0,0.25,400.0,3.0,0.6584683347980279,0.23195604303309722
16.0,70.0,0.4,400.0,2.0,0.658526482077526,0.2320218686664316
16.0,50.0,0.4,400.0,2.0,0.6586200731921138,0.23206673494007538
10.0,50.0,0.25,400.0,3.0,0.6586220146368768,0.2320237837941613
13.0,80.0,0.4,400.0,3.0,0.658648779412386,0.23196875756251442
13.0,70.0,0.33,400.0,3.0,0.658674382490229,0.2319747352413
13.0,70.0,0.33,400.0,2.5,0.6586803688312284,0.23205907027417616
10.0,70.0,0.25,400.0,2.5,0.658682274492018,0.232110094602629
16.0,80.0,0.5,400.0,2.0,0.658727172813609,0.2321276245162529
10.0,50.0,0.25,400.0,2.5,0.6587813361328285,0.23213440485026762
