id,round,date,home_id,away_id,market,selection,model,model_prob,model_fair_price,market_price_at_log,closing_price,stake_units,result,pnl_units,clv,logged_at,settled_at
1,Round 19,2026-07-10 20:00:00,WST,NZW,h2h,WST,blend,0.3812,2.623,3.225,,1.0,L,-1.0,,2026-07-08T00:28:07,2026-07-12T01:11:48
2,Round 19,2026-07-11 15:00:00,DOL,CRO,h2h,CRO,blend,0.4141,2.415,2.45,,1.0,W,1.45,,2026-07-08T00:28:07,2026-07-12T01:11:48
3,Round 19,2026-07-11 17:30:00,CBY,CAN,h2h,CAN,blend,0.4161,2.403,2.45,,1.0,W,1.45,,2026-07-08T00:28:07,2026-07-12T01:11:48
4,Round 19,2026-07-11 19:35:00,SYD,PAR,h2h,PAR,blend,0.2522,3.965,4.5,,1.0,L,-1.0,,2026-07-08T00:28:07,2026-07-12T01:11:48
5,Round 19,2026-07-12 14:00:00,SOU,NEW,h2h,SOU,blend,0.5897,1.696,1.975,,1.0,,,,2026-07-08T00:28:07,
6,Round 19,2026-07-12 16:05:00,MAN,NQL,h2h,MAN,blend,0.6311,1.585,1.545,,1.0,,,,2026-07-08T00:28:07,
7,Round 19,2026-07-12 18:15:00,MEL,GLD,h2h,MEL,blend,0.7567,1.322,1.35,,1.0,,,,2026-07-08T00:28:07,
8,Round 20,2026-07-16 19:50:00,PEN,BRI,h2h,PEN,blend,0.8271,1.209,1.25,1.25,1.0,,,0.0,2026-07-16T08:55:11,
9,Round 20,2026-07-17 18:00:00,CRO,NEW,h2h,CRO,blend,0.714,1.401,1.4,1.4,1.0,,,0.0,2026-07-16T08:55:11,
10,Round 20,2026-07-17 20:00:00,SYD,MEL,h2h,MEL,blend,0.3681,2.717,3.85,3.85,1.0,,,0.0,2026-07-16T08:55:11,
11,Round 20,2026-07-18 15:00:00,CAN,SOU,h2h,CAN,blend,0.5385,1.857,1.95,1.95,1.0,,,0.0,2026-07-16T08:55:11,
12,Round 20,2026-07-18 17:30:00,NZW,SGI,h2h,NZW,blend,0.8289,1.206,1.18,1.18,1.0,,,0.0,2026-07-16T08:55:11,
13,Round 20,2026-07-18 19:35:00,CBY,WST,h2h,CBY,blend,0.6468,1.546,1.5,1.5,1.0,,,0.0,2026-07-16T08:55:11,
14,Round 20,2026-07-19 14:00:00,GLD,MAN,h2h,MAN,blend,0.6899,1.449,1.57,1.57,1.0,,,0.0,2026-07-16T08:55:11,
15,Round 20,2026-07-19 16:05:00,DOL,NQL,h2h,DOL,blend,0.6667,1.5,1.62,1.62,1.0,,,0.0,2026-07-16T08:55:11,
