rank,team_id,elo,team
1,PEN,1642.7217005435514,Penrith Panthers
2,SYD,1585.9578228613457,Sydney Roosters
3,DOL,1573.5123244536574,Dolphins
4,CRO,1563.8865025909445,Cronulla-Sutherland Sharks
5,NZW,1560.9316502227812,New Zealand Warriors
6,MAN,1542.5166942378298,Manly-Warringah Sea Eagles
7,MEL,1539.3319623317213,Melbourne Storm
8,NQL,1505.4267515439387,North Queensland Cowboys
9,NEW,1488.761224229049,Newcastle Knights
10,SOU,1488.009919659744,South Sydney Rabbitohs
11,CBY,1480.1847881184488,Canterbury-Bankstown Bulldogs
12,CAN,1466.4186627974948,Canberra Raiders
13,BRI,1461.66980099013,Brisbane Broncos
14,PAR,1431.8959591512782,Parramatta Eels
15,WST,1420.9363528261902,Wests Tigers
16,GLD,1371.5592577439422,Gold Coast Titans
17,SGI,1358.113147749035,St George Illawarra Dragons
